#QH	QK	QL	ENlim1	ENlim2	I1	EN1	 sigma1	I2	EN2	sigma2
#0.515	0.000000	5	0.0000	90.0000	1.0000	60.000000	0.000000	0	0	0
0.61666	0.000000	5	0.0000	90.0000	1.0000	55.000000	0.003140	0	0	0
0.65933	0.000000	5	0.0000	90.0000	1.0000	50.000000	0.004750	0	0	0
0.73534	0.000000	5	0.0000	90.0000	1.0000	45.000000	0.003770	0	0	0
0.76325	0.000000	3	0.0000	90.0000	1.0000	40.000000	0.002400	0	0	0
0.80607	0.000000	3	0.0000	90.0000	1.0000	35.000000	0.002220	0	0	0
0.84247	0.000000	3	0.0000	90.0000	1.0000	30.000000	0.002410	0	0	0
0.87921	0.000000	3	0.0000	90.0000	1.0000	25.000000	0.002820	0	0	0
0.9047	0.000000	3	0.0000	90.0000	1.0000	20.000000	0.002970	0	0	0
0.92887	0.000000	1	0.0000	90.0000	1.0000	15.000000	0.001150	0	0	0
0.96844	0.000000	1	0.0000	90.0000	1.0000	10.000000	0.001110	0	0	0
1.00383	0.000000	1	0.0000	90.0000	1.0000	5.000000	0.000660	0	0	0
1.485	0.000000	5	0.0000	90.0000	1.0000	60.000000	0.000000	0	0	0
1.41219	0.000000	5	0.0000	90.0000	1.0000	55.000000	0.003240	0	0	0
1.33037	0.000000	5	0.0000	90.0000	1.0000	50.000000	0.008020	0	0	0
1.26042	0.000000	5	0.0000	90.0000	1.0000	45.000000	0.005860	0	0	0
1.24555	0.000000	3	0.0000	90.0000	1.0000	40.000000	0.002470	0	0	0
1.20227	0.000000	3	0.0000	90.0000	1.0000	35.000000	0.002340	0	0	0
1.16629	0.000000	3	0.0000	90.0000	1.0000	30.000000	0.002540	0	0	0
1.1331	0.000000	3	0.0000	90.0000	1.0000	25.000000	0.003210	0	0	0
1.11264	0.000000	3	0.0000	90.0000	1.0000	20.000000	0.005210	0	0	0
1.07538	0.000000	1	0.0000	90.0000	1.0000	15.000000	0.001150	0	0	0
1.03334	0.000000	1	0.0000	90.0000	1.0000	10.000000	0.001120	0	0	0
