#QH	QK	QL	ENlim1	ENlim2	I1	EN1	 sigma1	I2	EN2	sigma2
1.34633	0.000000	4.65367	0.0000	90.0000	1.0000	55.000000	0.009670	0	0	0
1.2520	0.000000	4.748	0.0000	90.0000	1.0000	50.000000	0.009930	0	0	0
1.2358	0.000000	2.7642	0.0000	90.0000	1.0000	45.000000	0.003310	0	0	0
1.2041	0.000000	2.7959	0.0000	90.0000	1.0000	40.000000	0.003150	0	0	0
1.17187	0.000000	2.82813	0.0000	90.0000	1.0000	35.000000	0.002670	0	0	0
1.14771	0.000000	2.85229	0.0000	90.0000	1.0000	30.000000	0.002990	0	0	0
1.11793	0.000000	2.88207	0.0000	90.0000	1.0000	25.000000	0.003630	0	0	0
1.07543	0.000000	2.92457	0.0000	90.0000	1.0000	20.000000	0.004260	0	0	0
1.06422	0.000000	0.93578	0.0000	90.0000	1.0000	15.000000	0.002320	0	0	0
1.03819	0.000000	0.96181	0.0000	90.0000	1.0000	10.000000	0.001090	0	0	0
1.00835	0.000000	0.99165	0.0000	90.0000	1.0000	5.000000	0.000460	0	0	0
0.70075	0.000000	5.29925	0.0000	90.0000	1.0000	55.000000	0.007660	0	0	0
0.7296	0.000000	5.2704	0.0000	90.0000	1.0000	50.000000	0.008890	0	0	0
0.78006	0.000000	3.21994	0.0000	90.0000	1.0000	45.000000	0.002890	0	0	0
0.8203	0.000000	3.1797	0.0000	90.0000	1.0000	40.000000	0.003050	0	0	0
0.84892	0.000000	3.15108	0.0000	90.0000	1.0000	35.000000	0.002660	0	0	0
0.87775	0.000000	3.12225	0.0000	90.0000	1.0000	30.000000	0.002890	0	0	0
0.90136	0.000000	3.09864	0.0000	90.0000	1.0000	25.000000	0.006970	0	0	0
0.93085	0.000000	3.06915	0.0000	90.0000	1.0000	20.000000	0.003840	0	0	0
0.94638	0.000000	1.05362	0.0000	90.0000	1.0000	15.000000	0.003380	0	0	0
0.97726	0.000000	1.02274	0.0000	90.0000	1.0000	10.000000	0.001060	0	0	0
