#QH	QK	QL	ENlim1	ENlim2	I1	EN1	 sigma1	I2	EN2	sigma2
#1	0.000000	4.30792	0.0000	90.0000	1.0000	55.000000	0.016180	0	0	0
#1	0.000000	4.58168	0.0000	90.0000	1.0000	40.000000	0.001950	0	0	0
1	0.000000	2.67717	0.0000	90.0000	1.0000	35.000000	0.006380	0	0	0
1	0.000000	2.74424	0.0000	90.0000	1.0000	30.000000	0.005700	0	0	0
1	0.000000	2.85285	0.0000	90.0000	1.0000	20.000000	0.003690	0	0	0
1	0.000000	0.88146	0.0000	90.0000	1.0000	15.000000	0.001860	0	0	0
1	0.000000	0.91448	0.0000	90.0000	1.0000	10.000000	0.002040	0	0	0
1	0.000000	0.97977	0.0000	90.0000	1.0000	5.000000	0.000890	0	0	0
1	0.000000	5.77262	0.0000	90.0000	1.0000	55.000000	0.011260	0	0	0
#1	0.000000	5.45738	0.0000	90.0000	1.0000	40.000000	0.001760	0	0	0
1	0.000000	3.24319	0.0000	90.0000	1.0000	35.000000	0.006060	0	0	0
1	0.000000	3.21266	0.0000	90.0000	1.0000	30.000000	0.005290	0	0	0
1	0.000000	3.10533	0.0000	90.0000	1.0000	20.000000	0.003260	0	0	0
1	0.000000	1.07061	0.0000	90.0000	1.0000	15.000000	0.001920	0	0	0
1	0.000000	1.03129	0.0000	90.0000	1.0000	10.000000	0.002100	0	0	0
#0	1.000000	3.54244	0.0000	90.0000	1.0000	50.000000	0.005140	0	0	0
#0	1.000000	3.46981	0.0000	90.0000	1.0000	45.000000	0.004930	0	0	0
#0	1.000000	3.31945	0.0000	90.0000	1.0000	37.500000	0.004360	0	0	0
