#QH      QK      QL      ENlim1    ENlim2     I1       EN1       sigma1         I2        EN2    sigma2
0    2.657200   3       0.0000   90.0000   1.0000   50.000000   1.0000         0         0         0
0    0.752230   3       0.0000   90.0000   1.0000   40.000000   0.9070         0         0         0
0    1.140000   3       2.0000   90.0000   1.0000   30.000000   0.9070         0         0         0
0    1.090000   3       2.0000   90.0000   1.0000   20.000000   0.8884         0         0         0
0    1.062000   1       2.0000   90.0000   1.0000   15.000000   0.6809         0         0         0
0    1.050000   1       2.0000   90.0000   1.0000   12.500000   0.6000         0         0         0
0    1.040000   1       2.0000   90.0000   1.0000   10.000000   0.5051         0         0         0
0    1.020000   1       2.0000   90.0000   1.0000    7.500000   0.4270         0         0         0
0    1.000000   1       2.0000   90.0000   1.0000    5.000000   0.3410         0         0         0
0    0.980000   1       2.0000   90.0000   1.0000    7.500000   0.4214         0         0         0
0    0.960000   1       2.0000   90.0000   1.0000   10.000000   0.5163         0         0         0
0    0.950000   1       2.0000   90.0000   1.0000   12.500000   0.6000         0         0         0
0    0.938000   1       2.0000   90.0000   1.0000   15.000000   0.6958         0         0         0
0    0.910000   3       2.0000   90.0000   1.0000   20.000000   0.8882         0         0         0
0    0.860000   3       2.0000   90.0000   1.0000   30.000000   0.9068         0         0         0
0    1.248000   3       0.0000   90.0000   1.0000   40.000000   0.9068         0         0         0
                                           
