#QH    QK       QL      ENlim1    ENlim2     I1       EN1       sigma1         I2        EN2    sigma2
0     1     3.230000   2.0000   50.0000  1.0000  30.000000   1.1889         0         0         0
0     1     2.870000   2.0000   90.0000  1.0000  20.000000   0.6952         0         0         0
0     1     1.100000   2.0000   50.0000  1.0000  15.000000   0.6952         0         0         0
0     1     1.080000   2.0000   50.0000  1.0000  12.500000   0.6000         0         0         0
0     1     1.060000   2.0000   50.0000  1.0000  10.000000   0.5163         0         0         0
0     1     1.030000   2.0000   50.0000  1.0000  7.500000    0.4270         0         0         0
0     1     1.000000   2.0000   50.0000  1.0000  5.000000    0.4270         0         0         0
0     1     0.970000   2.0000   50.0000  1.0000  7.500000    0.4214         0         0         0
0     1     0.940000   2.0000   50.0000  1.0000  10.000000   0.5051         0         0         0
0     1     0.920000   2.0000   50.0000  1.2900  12.500000   0.6000         0         0         0
0     1     0.900000   2.0000   50.0000  1.0000  15.000000   0.7015         0         0         0
0     1     3.134000   2.0000   90.0000  1.0000  20.000000   0.6952         0         0         0
0     1     2.770000   2.0000   50.0000  1.0000  30.000000   1.2000         0         0         0
0     1     0.500000   0.0000   80.0000  1.0000  54.310000   4.0000         0         0         0
0     1     2.000000   0.0000   80.0000  1.0000  64.980000   5.0000         0         0         0
