other import 0.0010001659393310547
         202661 function calls (198117 primitive calls) in 0.516 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 :0(CloseHandle)
        1    0.000    0.000    0.000    0.000 :0(CreatePipe)
        1    0.000    0.000    0.000    0.000 :0(CreateProcess)
        3    0.000    0.000    0.000    0.000 :0(DuplicateHandle)
        6    0.000    0.000    0.000    0.000 :0(GetCurrentProcess)
        1    0.000    0.000    0.000    0.000 :0(GetExitCodeProcess)
       34    0.016    0.000    0.016    0.000 :0(LoadLibrary)
        1    0.000    0.000    0.000    0.000 :0(OpenKeyEx)
        2    0.000    0.000    0.000    0.000 :0(POINTER)
        1    0.000    0.000    0.000    0.000 :0(QueryValueEx)
        3    0.000    0.000    0.000    0.000 :0(S_ISDIR)
        1    0.000    0.000    0.000    0.000 :0(WaitForSingleObject)
  479/477    0.000    0.000    0.016    0.000 :0(__build_class__)
      126    0.000    0.000    0.000    0.000 :0(__contains__)
        1    0.000    0.000    0.000    0.000 :0(__enter__)
     1749    0.000    0.000    0.000    0.000 :0(__exit__)
       10    0.000    0.000    0.000    0.000 :0(__getitem__)
    431/1    0.000    0.000    0.516    0.516 :0(__import__)
       13    0.000    0.000    0.000    0.000 :0(__init_subclass__)
      718    0.000    0.000    0.000    0.000 :0(__new__)
       30    0.000    0.000    0.000    0.000 :0(_abc_init)
        1    0.000    0.000    0.000    0.000 :0(_abc_instancecheck)
       13    0.000    0.000    0.000    0.000 :0(_abc_register)
    29/14    0.000    0.000    0.000    0.000 :0(_abc_subclasscheck)
        2    0.000    0.000    0.000    0.000 :0(_add_dll_directory)
        5    0.000    0.000    0.000    0.000 :0(_filters_mutated)
      260    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
        1    0.000    0.000    0.000    0.000 :0(_getdefaultlocale)
       37    0.000    0.000    0.000    0.000 :0(_getframe)
       67    0.000    0.000    0.000    0.000 :0(_getfullpathname)
       72    0.000    0.000    0.000    0.000 :0(_path_splitroot)
        1    0.000    0.000    0.000    0.000 :0(_reload_guard)
        1    0.000    0.000    0.000    0.000 :0(_set_madvise_hugepage)
        1    0.000    0.000    0.000    0.000 :0(_set_sentinel)
       96    0.000    0.000    0.000    0.000 :0(abs)
       12    0.000    0.000    0.000    0.000 :0(acquire)
     2368    0.000    0.000    0.000    0.000 :0(acquire_lock)
      870    0.000    0.000    0.000    0.000 :0(add)
      347    0.000    0.000    0.000    0.000 :0(add_docstring)
        3    0.000    0.000    0.000    0.000 :0(all)
      675    0.000    0.000    0.000    0.000 :0(allocate_lock)
       29    0.000    0.000    0.000    0.000 :0(any)
    10335    0.000    0.000    0.000    0.000 :0(append)
      126    0.000    0.000    0.000    0.000 :0(array)
        2    0.000    0.000    0.000    0.000 :0(asarray)
        4    0.000    0.000    0.000    0.000 :0(ascii_iscased)
        4    0.000    0.000    0.000    0.000 :0(ascii_tolower)
        1    0.000    0.000    0.000    0.000 :0(astype)
        2    0.000    0.000    0.000    0.000 :0(audit)
       18    0.000    0.000    0.000    0.000 :0(calcsize)
      738    0.000    0.000    0.000    0.000 :0(callable)
        7    0.000    0.000    0.000    0.000 :0(cast)
        1    0.000    0.000    0.000    0.000 :0(charmap_decode)
        4    0.000    0.000    0.000    0.000 :0(charmap_encode)
        2    0.000    0.000    0.000    0.000 :0(chdir)
      288    0.000    0.000    0.000    0.000 :0(chr)
        5    0.000    0.000    0.000    0.000 :0(clear)
        4    0.000    0.000    0.000    0.000 :0(close)
       84    0.000    0.000    0.000    0.000 :0(compile)
       99    0.000    0.000    0.000    0.000 :0(copy)
