# List of space groups implemented in th python `spglib`
# number international_short international_full international schoenflies hall_number hall_symbol choice pointgroup_international pointgroup_schoenflies arithmetic_crystal_class_number arithmetic_crystal_class_symbol
1    P1          P 1                  P 1                              C1^1    1    P 1             std    1      C1   1   1P     
2    P-1         P -1                 P -1                             Ci^1    2    -P 1            std    -1     Ci   2   -1P    
3    P2          P 1 2 1              P 2 = P 1 2 1                    C2^1    3    P 2y            b      2      C2   3   2P     
3    P2          P 1 1 2              P 2 = P 1 1 2                    C2^1    4    P 2             c      2      C2   3   2P     
3    P2          P 2 1 1              P 2 = P 2 1 1                    C2^1    5    P 2x            a      2      C2   3   2P     
4    P2_1        P 1 2_1 1            P 2_1 = P 1 2_1 1                C2^2    6    P 2yb           b      2      C2   3   2P     
4    P2_1        P 1 1 2_1            P 2_1 = P 1 1 2_1                C2^2    7    P 2c            c      2      C2   3   2P     
4    P2_1        P 2_1 1 1            P 2_1 = P 2_1 1 1                C2^2    8    P 2xa           a      2      C2   3   2P     
5    C2          C 1 2 1              C 2 = C 1 2 1                    C2^3    9    C 2y            b1     2      C2   4   2C     
5    C2          A 1 2 1              C 2 = A 1 2 1                    C2^3    10   A 2y            b2     2      C2   4   2C     
5    C2          I 1 2 1              C 2 = I 1 2 1                    C2^3    11   I 2y            b3     2      C2   4   2C     
5    C2          A 1 1 2              C 2 = A 1 1 2                    C2^3    12   A 2             c1     2      C2   4   2C     
5    C2          B 1 1 2              C 2 = B 1 1 2 = B 2              C2^3    13   B 2             c2     2      C2   4   2C     
5    C2          I 1 1 2              C 2 = I 1 1 2                    C2^3    14   I 2             c3     2      C2   4   2C     
5    C2          B 2 1 1              C 2 = B 2 1 1                    C2^3    15   B 2x            a1     2      C2   4   2C     
5    C2          C 2 1 1              C 2 = C 2 1 1                    C2^3    16   C 2x            a2     2      C2   4   2C     
5    C2          I 2 1 1              C 2 = I 2 1 1                    C2^3    17   I 2x            a3     2      C2   4   2C     
6    Pm          P 1 m 1              P m = P 1 m 1                    Cs^1    18   P -2y           b      m      Cs   5   mP     
6    Pm          P 1 1 m              P m = P 1 1 m                    Cs^1    19   P -2            c      m      Cs   5   mP     
6    Pm          P m 1 1              P m = P m 1 1                    Cs^1    20   P -2x           a      m      Cs   5   mP     
7    Pc          P 1 c 1              P c = P 1 c 1                    Cs^2    21   P -2yc          b1     m      Cs   5   mP     
7    Pc          P 1 n 1              P c = P 1 n 1                    Cs^2    22   P -2yac         b2     m      Cs   5   mP     
7    Pc          P 1 a 1              P c = P 1 a 1                    Cs^2    23   P -2ya          b3     m      Cs   5   mP     
7    Pc          P 1 1 a              P c = P 1 1 a                    Cs^2    24   P -2a           c1     m      Cs   5   mP     
7    Pc          P 1 1 n              P c = P 1 1 n                    Cs^2    25   P -2ab          c2     m      Cs   5   mP     
7    Pc          P 1 1 b              P c = P 1 1 b = P b              Cs^2    26   P -2b           c3     m      Cs   5   mP     
7    Pc          P b 1 1              P c = P b 1 1                    Cs^2    27   P -2xb          a1     m      Cs   5   mP     
7    Pc          P n 1 1              P c = P n 1 1                    Cs^2    28   P -2xbc         a2     m      Cs   5   mP     
7    Pc          P c 1 1              P c = P c 1 1                    Cs^2    29   P -2xc          a3     m      Cs   5   mP     
8    Cm          C 1 m 1              C m = C 1 m 1                    Cs^3    30   C -2y           b1     m      Cs   6   mC     
8    Cm          A 1 m 1              C m = A 1 m 1                    Cs^3    31   A -2y           b2     m      Cs   6   mC     
8    Cm          I 1 m 1              C m = I 1 m 1                    Cs^3    32   I -2y           b3     m      Cs   6   mC     
8    Cm          A 1 1 m              C m = A 1 1 m                    Cs^3    33   A -2            c1     m      Cs   6   mC     
8    Cm          B 1 1 m              C m = B 1 1 m = B m              Cs^3    34   B -2            c2     m      Cs   6   mC     
8    Cm          I 1 1 m              C m = I 1 1 m                    Cs^3    35   I -2            c3     m      Cs   6   mC     
8    Cm          B m 1 1              C m = B m 1 1                    Cs^3    36   B -2x           a1     m      Cs   6   mC     
8    Cm          C m 1 1              C m = C m 1 1                    Cs^3    37   C -2x           a2     m      Cs   6   mC     
8    Cm          I m 1 1              C m = I m 1 1                    Cs^3    38   I -2x           a3     m      Cs   6   mC     
9    Cc          C 1 c 1              C c = C 1 c 1                    Cs^4    39   C -2yc          b1     m      Cs   6   mC     
9    Cc          A 1 n 1              C c = A 1 n 1                    Cs^4    40   A -2yab         b2     m      Cs   6   mC     
9    Cc          I 1 a 1              C c = I 1 a 1                    Cs^4    41   I -2ya          b3     m      Cs   6   mC     
9    Cc          A 1 a 1              C c = A 1 a 1                    Cs^4    42   A -2ya          -b1    m      Cs   6   mC     
9    Cc          C 1 n 1              C c = C 1 n 1                    Cs^4    43   C -2yac         -b2    m      Cs   6   mC     
9    Cc          I 1 c 1              C c = I 1 c 1                    Cs^4    44   I -2yc          -b3    m      Cs   6   mC     
9    Cc          A 1 1 a              C c = A 1 1 a                    Cs^4    45   A -2a           c1     m      Cs   6   mC     
9    Cc          B 1 1 n              C c = B 1 1 n                    Cs^4    46   B -2ab          c2     m      Cs   6   mC     
9    Cc          I 1 1 b              C c = I 1 1 b                    Cs^4    47   I -2b           c3     m      Cs   6   mC     
9    Cc          B 1 1 b              C c = B 1 1 b = B b              Cs^4    48   B -2b           -c1    m      Cs   6   mC     
9    Cc          A 1 1 n              C c = A 1 1 n                    Cs^4    49   A -2ab          -c2    m      Cs   6   mC     
9    Cc          I 1 1 a              C c = I 1 1 a                    Cs^4    50   I -2a           -c3    m      Cs   6   mC     
9    Cc          B b 1 1              C c = B b 1 1                    Cs^4    51   B -2xb          a1     m      Cs   6   mC     
